post,ans1,severity1,bully1,ans2,severity2,bully2,ans3,severity3,bully3
Q: LMFAO LMFAO LMFAO LMFAO ROFL<3 peyton is a wanna be CASSIE  lmfao thats mean<br>A: ahaa its mean buh truee.;],No,0,,Yes,7,"""""""peyton is a wanna be CASSIE lmfao thats mean",,,
Q: lmfaooooo  MY NAME AINT DICK! lolll i love youuuuuu bitchhhhhhh<br>A: ahaa lol i love u too.;],No,0,,Yes,2,bitchhhhhhh,No,0,
Q: LOL I danced wit him afta yu lef las nite...and I heard tht some grl was dancn wiff jeffery and he got wet AND had a boner<br>A: ahahahahahaha!! omg ;] hehehe yu noe yu like him!!,Yes,1,LOL I danced wit him afta yu lef las nite. hehehe yu noe yu like him!!,No,0,,No,0,
Q: love y tooo(:<br>A: she tld u tew shut up..VV,No,0,,No,0,,Yes,2,she tld u tew shut up
Q: Na Neva dhat this Tosha I kno all bout chu Hun...wen yu finna do dhis shit<br>A: ull find out TOSHA.!!!,Yes,4,ull find out TOSHA.!!!,No,0,,No,0,
Q: Nope actually this is ........who was told by one if the peolpe that was there so stick that in your juice box<br>A: ur mad gay and dnt be annonomousss.;] butch stick tht IN UR JUICE BOX hoe!!,,0,"""""""mad gay, stick that in your juice box""""""",Yes,1,hoe,Yes,5,butch stick tht IN UR JUICE BOX hoe
Q: Oh bitch you can&#039;t hide cus I&#039;m gonna find you and we gon have a problem hoe<br>A: hide frm....who?? wtf i aint hidin from noone sawgrass is were ull find me oh yeah and in royal palm like d.f hoe u dnt skare me.,Yes,4,"""""""bitch, hoe""""""",Yes,10,"""""""Oh Bitch, I'm gonna find you, we gon have a problem hoe""""""",Yes,7,"""""""bitch you can't hide, hoe"""""""
Q: oh yeah and btw anonomousVVVV i did step up tew amber i fought ha alreadii dum trikk aint no sense in fitin her she juss ggunnah lose again.<br>A: mmhm.,Yes,5,dum trikk,No,0,,Yes,7,i did step up tew amber i fought ha alreadii dum trikk
Q: omar be ugly dudeszz get at me.<br>A: I DNT LIKE HIM! and whos this and maybe i will;],Yes,1,"""""""Q: omar be ugly dudeszz get at me.",,,,,,
Q: omg u like omar aww wha u KUTE kouple.!!(:<br>A: d.f speak englishh and um NEVERR EVERR sed tht.!!;],No,0,,No,0,,Yes,1,d.f speak englishh
Q: Oops wrong personn<br>A: umm hum suree.! u annoying,No,0,,No,0,,Yes,1,u annoying
Q: peyton (ugly wite skranyy hoeish  stank  wannabe kassie) is fake azz hell.<br>A: yup i think i rote this myself lol ahaaa;] and yess ppl she is.,Yes,8,peyton (ugly wite skranyy hoeish stank wannabe kassie) is fake azz hell.,No,0,,No,0,
Q: She had to say Haitian vvv -______-<br>A: ...ahahaha ;],No,0,,Yes,5,"""""""She had to say Haitian (implication, rather than outright)""""""",No,0,
Q: she ot me right by her side bitch! an at least i can show my dam info pussyyy ass V<br>A: mmhm yup and so will 10000 more and ily rach .u2665,Yes,10,pussyyy ass V,Yes,5,pussyyy ass,Yes,5,"""""""bitch! , pussyyy ass"""""""
Q: STFU dumm bitches . Hopp off her shitt . Her &amp; Bryann aree perfectooo for eachother lmfao . lovee yuu sexy mama <3<br>A: lmao ily were u benn long tyme? and u looked so pretty for prom!;],Yes,3,"""""""""""""""STFU dumm bitches . Hopp off her shitt .""""""""""""""",No,0,,Yes,5,STFU dumm bitches . Hopp off her shitt
Q: stupid bitchhh and hop of ashlie&#039;s formspring<br>A: bye ;],Yes,3,stupid bitchhh,Yes,10,stupid bitchhh,Yes,6,stupid bitchhh and hop of ashlie's formspring
Q: suppppppppp?<br>A: nadaa bored yuu??,No,0,,No,0,,Yes,1,bored
Q: U A HOE.!<br>A: thnx for spendin the tyme out of yur day to kome see how im duing im fine u??? and explain how AUJALA'S a hoe?? wait see u knt kus im not by hater much love [muahszz) oh yeah kome again.,Yes,6,U A HOE.!,Yes,4,U A HOE,Yes,7,you a hoe
Q: u and omar talk?????<br>A: thats none of ur biussniess.;],No,0,,Yes,4,u and omar talk?????,No,0,
Q: u concited!<br>A: okayy and?,No,0,,Yes,2,conceded,No,0,
Q: U guys need are gay hopp off matts dick :)<br>A: wtf i dnt even noe a matt dum hoe hop off mah dik.!;],Yes,5,U guys need are gay,Yes,2,"""""""U guys need are gay hopp off matts dick :)",,,
Q: u iz str8 wit cristal ?<br>A: i guess.;],No,0,,No,0,,Yes,1,u iz str8 wit cristal ?
Q: u so ugliii ew hoe ghet a lyfe <br>A: Bitch yu so soft   YUU  get a fuckinn life &amp; stop worryinn bowt miness yu fuckk hoe (:,Yes,0,"""""""you're so fucking ugly, bitch, get a life, fuck u ho""""""",Yes,9,"""""""u so ugliii ew hoe ghet a lyfe,",,,
Q: um aujula why the fuck are you so ugly? lmfao jk babygirl your gorgouesss <3<br>A: ahaa lol thnx.;],No,0,,Yes,1,Q: um aujula why the fuck are you so ugly,No,0,
Q: um da gurl dat hangs wit evelyn her name is katiana..cause i alwayz be hearing u talk about her do u like her?<br>A: wtf get a life i dnt even noe herr like wtf ur ANNOYING.!! damn bitch hop off.;] byeeeeeeee,Yes,6,get a life..ur ANNOYING.. bitch hop off,Yes,2,damn bitch hop off,Yes,2,"""""""Q: um da gurl dat hangs wit evelyn her name is katiana..cause i alwayz be hearing u talk about her do u like her?"
Q: ur fukin sexyVV dont listen can we fuk?<br>A: thnx and def. not???,No,0,,Yes,10,'ur fukin sexyVV dont listen can we fuk?',Yes,7,can we fuk
Q: ur mad ugly.<br>A: i noe i am.;]<333,Yes,1,ur mad ugly.,Yes,1,ur mad ugly.,Yes,3,ur mad ugly.
Q: ur sexy kume suk my dikk.<br>A: um no thnxx ill pass.;],No,0,,Yes,9,suk my dikk,Yes,2,kume suk my dikk
Q: ura gonna getta played ;/<br>A: trustt me i did omar is wurth shitt.;] i love jhon tho lol.,No,0,,No,0,,No,0,hoe u ugly as fuk
Q: vvv eww dont talk to morgann lmao jkjkjk morgans mi bitch:]<br>A: oh lmao ahaha,Yes,7,bicth,No,0,,No,0,
Q: vvvvvv THIS CHICK AINT GOTT NO FRIENDS &amp;&amp; LIKE TO START WIF PPL ..!!<br>A: lol wowww,No,0,,Yes,6,AINT GOTT NO FRIENDS,Yes,9,THIS CHICK AINT GOTT NO FRIENDS && LIKE TO START WIF PPL
Q: wait dnt fuk wit lala shell beat a shoes ass and hoe ima kume for uVVVVVVV<br>A: a shoe?? i thought i wear dem lmfao dnt u mean hoes and whos this?,No,0,,Yes,5,wait dnt fuk wit lala shell beat a shoes ass and hoe ima kume for uVVVVVVV,Yes,7,ass and hoe mean hoe
Q: wat&#039;s ur bfs lastname?<br>A: askk him.;],No,0,,Yes,3,wat's ur bfs last name,No,0,
Q: who were the ppl who started sendin the pic of florine around ? yhat is fucked up.<br>A: i noe its fuk up but u noe what else is fuked up puttin them on BLASTT!,No,0,,Yes,10,"""""""fucked up, fuk up, fuked up puttin them on BLASTT""""""",Yes,3,sendin the pic of florine around
Q: why r u suchho a hoe.?<br>A: speak englisheee fukin dum ass and im not tell me 1 reason y ima hoa and y r u such a pussy and have tew be ANONOMOUS.,Yes,8,"""""""hoe, dumb ass, pussy""""""",Yes,10,"""""""Hoe, fukin dum ass, pussy""""""",Yes,4,why r u suchho a hoe; fukin dum ass;  y r u such a pussy
Q: wow you guys are soo annyoing hope the fuckk offf aujalas pagee :)<br>A: lol ily jessika;],Yes,1,you guys are soo annyoing hope the fuckk offf aujalas pagee,No,0,,Yes,2,hope the fuckk offf aujalas pagee
Q: woww   ummmm yuu quyys neeed to stop postinqq shit anonymously seriously . be str8 up . annd dont fuck with her ! ilearned my lesson(: VVVV<br>A: oh true.;],Yes,2,stop postinqq shit anonymously seriously . be str8 up . annd dont fuck with her,No,0,,No,0,
Q: y does u talk shit about peyton ?<br>A: because we wernt friends y does u kare nigga.;] and btw u kan get out my buissness.,Yes,5,y does u kare nigga.;] and btw u kan get out my buissness.,Yes,7,y does you talk  shit about peyton?,Yes,9,shit
Q: y u nd cristal srt8?   shez iz wit peyton nd savanah<br>A: wtf im not str8 wit dhat fat hoe and um think again i dnt kare if she str8 wit dem um... shes not wit me so byee.!! god..... hop off wit dhat dum shit.;],No,0,,Yes,1,"""""""y u nd cristal srt8? shez iz wit peyton nd savanah",,,
Q: Yeh you she was like drama not healthy and then you said somethn I was thr<br>A: i sed EXSACTLY and i noe dis amber im not dum kus it was only me taylor brianna and u. so byee..,Yes,1,you said somethn I was thr,Yes,3,"""""""you said somethn",,,
Q: yolll needa stop callin this sexii ahh gurl a hoe! (nohomo]. my name iz hayley uwanna b friends?<br>A: thnx and im ok ;],No,0,,Yes,1,"""""""""""""""stop""""""""""""""",Yes,1,yolll needa stop callin this sexii ahh gurl a hoe! (nohomo]. my name iz hayley uwanna b friends?
Q: yoo im telling yall dnt mess wit my kuszinn kus she DO NOT PLAY repeat DOOOOO NOTTT.!<br>A: so w.e tld her to shut up dwn there like really??,Yes,3,tld her to shut up dwn there,Yes,1,dnt mess wit my kuszinn kus she DO NOT PLAY,Yes,6,DO NOT PLAY
Q: you sware you the shxt . like you can fite anyone and wiinn? wellll you can your a lil stiiick bitch. STOP TRYING TO ACT HARD<br>A: srry tht ur anonomous and u say shit and oh yeah i dnt try tew akt hard btw its juss i dnt let ppl fuk wit me like u stank hoe u kan hop off mah shit so fuk u and have a nice dayy!;] bye haterr,Yes,5,"""""""your a lil stiiick bitch. STOP TRYING TO ACT HARD",,,,,,
Q: You&#039;re Lame As Fuck .<br>A: k let me be lame dah fuk wurry bwt chorss.!,Yes,2,You're Lame As Fuck .,Yes,2,You're Lame As Fuck,Yes,1,: You're Lame As Fuck
Q: your LAME ass . oviously iloveyouhh moree. (;<br>A: ur extra extra lame and inkorrekt its MORE obvious i love alani more!,Yes,2,your lame,Yes,2,your LAME ass,Yes,3,"""""""LAME ass... extra lame (may just be a mutual joke, though)"""""""
Q: yous a bitch nd hoe !<br>A: uh huh,Yes,7,"""""""bitch,hoe""""""",Yes,5,yous a bitch nd hoe !,Yes,1,yous a bitch nd hoe !
Q: IDGAF LAME BITCH<br>A: Lol whyy are you still on my dickk  wtffff do you wantt?!,Yes,1,"""""""Q: IDGAF LAME BITCH",,,,,,
Q: -  If You Want Me To Spam You Ask  -<br>A: nah thanks ;D,No,0,,No,0,,Yes,6,If You Want Me To Spam You Ask
Q: (; hehe that&#039;s funny I want to fuck your tight ass<br>A: :O haha maybe i know who you are :D,Yes,3,I want to fuck your tight ass,Yes,6,I want to fuck your tight ass,Yes,7,I wanna fuck your tight ass.
Q: ^^ I think you are cute. No joking. :3<br>A: aww thanks :D,No,0,,No,0,,Yes,5,I think you are cute
Q: ` do you know that you&#039;re hurting someone that should be important to you really badly ?<br>A: i know...,No,0,,Yes,1,do you know that you're hurting someone - i know...,No,0,
Q: are you gay?<br>A: hahahaha who are you?,Yes,3,Are you gay?,No,0,,Yes,4,Are you gay?
Q: are you gay?<br>A: hahahha who are you?,Yes,1,are you gay?,No,0,,No,0,
Q: are you straight?<br>A: who are you? :P,No,0,,Yes,1,are you straight?,No,0,
Q: are yuu a vergin<br>A: maybe ;D,Yes,2,You a virgin?,No,0,,No,0,
Q: Areee you a boy   Are you gay   Are you a bieleber :l<br>A: yes  no   yes.,Yes,6,a boy Are you gay,No,0,,Yes,5,Areee you a boy Are you gay Are you a bieleber
Q: ask meeee! :P<br>A: no ENTENDI la pregunta hahaha ;(,Yes,2,ask meeee! :P,No,0,,No,0,
Q: awww :&#039;( she cheated on you ? :P<br>A: something like that :c well... fuck it! the past is past :),No,2,fuck it,No,0,,No,0,
Q: Bad Romance o Telephone?<br>A: Depende de como este mi dia ;) Bad Romance cuando amo a alguien y Telephone cuando quiero olvidarla,No,0,,No,0,,Yes,7,Bad Romance o Telephone?
Q: bett ya dont know who i am do u?? haha i love being a secret to u :D<br>A: who? haha ;D,No,0,,No,0,,Yes,3,aha i love being a secret to u
Q: but i want your hairy ass then after i lick it i can fuck it you know you want it<br>A: shut the fuck up! i bet you're a 50 years old perv!,Yes,4,,Yes,9,i want your hairy ass then after i lick it i can fuck it,Yes,6,"""""""Using unwanted sexual advances. """"""""i want your hairy ass then after i lick it i can fuck it """""""" and """"""""shut the fuck up! i bet you're a 50 years old perv!"""""""""""""""
Q: but if i did that youd know it was me..<br>A: you? did what? (;,Yes,5,if i did that,No,0,,No,0,
Q: by the way i was the 1 who sed ur nasty &amp; pppppppppppppplease tell. thats it (;<br>A: nope ;D,No,0,,Yes,9,by the way i was the 1 who sed ur nasty,No,0,
Q: Can I have a Picture of your Penis? :D<br>A: you wish ahahhaha,Yes,6,Can I have a Picture of your Penis,No,0,,No,0,
Q: can you show everyone your underwear? haha<br>A: yes xD,,5,can you show everyone your underwear? haha,No,0,,No,0,
Q: COME AND GET YA CANDY!!<br>A: i can't wait ;D,No,0,,No,0,,Yes,5,get ya candy
Q: come to tinychat?<br>A: send me the link,No,0,,Yes,2,come to tinychat,No,0,
Q: cuando se estrena alejandro???<br>A: no se xd pero no falta mucho  se esta terminando de editar u.u,No,0,,No,0,,Yes,7,no se xd pero no falta mucho se esta terminando de editar u.u
Q: Do you finger your tight ass?<br>A: wtf? hahaha,Yes,7,Q: Do you finger your tight ass?,No,0,,Yes,3,Do you finger your tight ass
Q: do you think it&#039;s weird that i keep calling you sexy  lil smexy beast???<br>A: weird? :D,No,0,,No,0,,,2,Q: do you think it's weird that i keep calling you sexy lil smexy beast???
Q: Do you think that if you saw into your future it would kill you  make you stronger  or have no effect on you<br>A: idk :/,Yes,8,future it would kill you make,No,0,,No,0,
Q: do you think your hot ?<br>A: you tell me :P,No,0,,Yes,5,do you think your hot ?,No,0,
Q: eat me out. x]<br>A: come to my bed ;D lmfao,Yes,3,eat me out,No,0,,No,0,
Q: eres gay?<br>A: hahaha otra vez con la misma pregunta u00acu00ac' xD quien sos?,No,0,,Yes,5,eres gay?,Yes,2,eres gay?
Q: fuck me ? ;D<br>A: who are you? xD,Yes,1,fuck me,Yes,4,fuck me ? ;D,No,0,
Q: FUCK ME!!! THAT&#039;S ALL I ASK!!! THAT&#039;S ALL I EVER WANT!!! PLEASE!!!<br>A: sure ;D,No,0,,No,0,,Yes,6,FUCK ME
Q: Gaga or Hayley? You HAVE TO chose one...<br>A: i can't because Gaga = PoP Hayley = Rock hey --> http://www.facebook.com/Maurice2828?v=app_2392950137#!/video/video.php?v=1364196778993,No,0,,Yes,7,Gaga or Hayley? You HAVE TO chose one...,No,0,
Q: gahaha. xD i will whip your ass. lmfaoo.<br>A: lmfao ;D,Yes,5,i will whip your ass,Yes,2,Q: gahaha. xD i will whip your ass. lmfaoo.,Yes,6,whip your ass
Q: Give ot to me hardcore LOLZZZ<br>A: ;D,No,0,,No,0,,Yes,6,hardcore
Q: Haber si adivinas quien soy. ERES SEXI. Dime quien soy? xd<br>A: Ahahahaha eres @PauParamore u2665,No,0,,No,0,,Yes,3,ERES SEXI.
Q: Hace calor en Colombia??<br>A: si :P,No,0,,No,0,,Yes,3,: Hace calor en Colombia?
Q: hahhaa. and u say I look like her? have u ever seen my body? lmfaaaaaaao. ;P<br>A: yeah but you ask if she's cute :P,No,0,,No,0,,Yes,1,and u say I look like her? have u ever seen my body? lmfaaaaaaao. ;P
Q: heeeeeey! yuck  weird dude down there! lmfao. anyways  can u ask me 5 questions please then i&#039;ll ask u 5? ;D <3<br>A: ok ;D,Yes,2,yuck weird dude down there!,No,0,,No,0,
Q: HELLLOOOOOOOO SEXY!!!!!!!!!!!!!!!! WHATS UP BABY???????? r r XOXOXOXOXOOXOXOXOX MOSTLY KISSED THOUGH  ;D<br>A: what's up smexy ;D,No,0,,Yes,1,SEXY MOSTLY KISSED,No,0,
Q: hey do you have a hairy ass i would love to put my tounge deep in you<br>A: EWW! dude get a life!,Yes,2,put my tounge deep in you,Yes,2,hey do you have a hairy ass i would love to put my tounge deep in you,Yes,2,hey do you have a hairy ass
Q: Hey smexy wanna fuck?? How bout we do some 69 all night long? Sounds good k I&#039;ll be in your bed waiting sexy bitch! ;D<br>A: NO! i'm not a whore! fuck yourself you stupid fucking bitch!,Yes,9,Hey smexy wanna fuck?? How bout we do some 69 all night long? Sounds good k I'll be in your bed waiting sexy bitch! ;D,Yes,8,Wanna fuck? Sexy bitch! Fuck yourself you stupid fucking bitch!,Yes,9,"""""""hey sexy wanna fuck?"
Q: how long is your dick ?<br>A: bigger than tour brain ;D,No,0,,Yes,7,how long is your dick ?,No,0,
Q: how much can you handle ? (;<br>A: MUCH (;,No,0,,No,0,,Yes,1,"""""""how much can you handle ? (;"
Q: HOW THE HELL DO I MAKE YOU FEEL SPECIAL?<br>A: hating me (:,No,0,,Yes,6,hating me,No,0,
Q: i am done asking you whorish questions. xD rofl.<br>A: ahahha xDDD cool,Yes,2,i am done asking you whorish questions. xD rofl.,No,0,,No,0,
Q: i dont think your a virgin  btw. xD<br>A: hahaha i don't think so too ;D,Yes,2,i don't think you are a virgin,Yes,3,virgin,No,0,
Q: I HATE YOU 2<br>A: you make me feel special :D,Yes,0,I HATE YOU 2,No,0,,No,0,
Q: I still wanna F*ck them up!!<br>A: hahahaha thank you :D,Yes,2,I still wanna F*ck them up!!,Yes,4,f*ck them up,No,0,
Q: I think i&#039;m too hot for you!<br>A: really? awh i wanna know you so ;D,No,0,,Yes,2,I think I'm too hot for you!,Yes,3,I think i'm too hot for you!
Q: i wanna ask you something but at the same time i dont wanna because i know ill get embarrassed ;]<br>A: just ask anonymously ;D,No,0,,Yes,3,i know ill get embarrassed ;],No,0,
Q: i wanna take a ride on your disco stick (;<br>A: take it ;D,Yes,2,i wanna take a ride on your disco stick,No,0,,No,0,
Q: i will suck your dick for free. :PP<br>A: hahaha :O :P,Yes,6,suck your dick,No,2,"""""""Sexual harassment, although it appeared to not really offend the answerer.""""""",No,0,
Q: If I turn around and Bend over  will you welcome your little friend inside ;D<br>A: ahahah :$ ;D,Yes,10,Q: If I turn around and Bend over will you welcome your little friend inside ;D,No,0,,No,0,
Q: If someone said to you  i can kill you or I can can kill anyone else in the world in your place? What awnser would you give them ?<br>A: kill yourself motherfucker ;D,Yes,10,Kill yourself motherfucker,Yes,6,"""""""Q: If someone said to you i can kill you or I can can kill anyone else in the world in your place? What awnser would you give them ?",,,
Q: If you had the choice would you like to be human  or a demi god ?<br>A: i'm fine as monster ;D,Yes,9,human or a demi god,No,0,,No,0,
Q: its only me and i need more people lol<br>A: only you? c'mon!,No,0,,No,0,,Yes,6,i need more people lol
Q: ive got your money. x]<br>A: LOL :PP what do you wanna be?,No,0,,Yes,3,ive got your money,No,0,
Q: Mauriciooo  stop being so perverted baby... It&#039;s annoying my ass off... (B.)<br>A: :@,No,0,,No,0,,Yes,2,"""""""Q: Mauriciooo stop being so perverted baby... It's annoying my ass off... (B.)"
Q: maybe? thats a yes. omgash  you naughty naughty boooooy ;) Anyways  how are you?<3<br>A: i'm just bored ;D,No,0,,Yes,1,omgash you naughty naughty boooooy ;),No,0,
Q: no im being serious you dont like me you dont talk to me u ignore me<br>A: :/,No,0,,Yes,2,im being serious you dont like me you dont talk to me u ignore me,Yes,1,ignore don't like
Q: Not trying to be intrucinve buut have you ever thought about or tried to kill yourself ?<br>A: yeah but i know i wont do that :P,,0,,Yes,3,have you ever thought about or tried to kill yourself,No,0,
Q: ohh haha later u wanna tinychat? cuz  im leaving soon to go to a show but when i come do u wanna?<br>A: i'm ugly D: lol,Yes,4,ugly,No,0,,No,0,
Q: ohhhhh babe not much laying in my bed u should come lay with me ;)  wats up with u??<br>A: i should ;D i'm about to go out,No,0,,Yes,2,: ohhhhh babe not much laying in my bed u should come lay with me ;) wats up with u?,No,0,
Q: r u GAY ?<br>A: who are you?,Yes,2,Are you gay?,Yes,2,r u GAY,No,0,
Q: rofl xD r then let me suck it ?<br>A: wish you ;D,Yes,5,then let me suck it,No,0,,No,0,
Q: she sucks. she can go fuck herself. xD<br>A: : PP i don't care what she do lol,Yes,7,she can go fuck herself,Yes,4,she sucks. she can go fuck herself.,Yes,3,go fuck herself
Q: Si  Kesha t pide k hagan un video Porno k le dirias?<br>A: Si!!! con cualquier celebridad xD,No,0,,Yes,1,Q: Si Kesha t pide k hagan un video Porno k le dirias?,No,0,
Q: so are you going to tell her<br>A: why do you care? maybe because you're HER? just saying...,Yes,2,"""""""""""""""why do you care"""""""", because you're HER?""""""",Yes,4,why do you care? maybe because you're HER? just saying...,No,0,
Q: soo... u....me....mybed......now? ;)<br>A: ...,No,0,,Yes,2,you me my bed now?,No,0,
Q: Soooo Maurice ;))) boom boom in my humble abode or ur house???;)<br>A: my bed (;,Yes,5,Q: Soooo Maurice ;))) boom boom in my humble abode or ur house???;),No,0,,No,0,
Q: speak to me in spanish  you sexy motherfucker !<br>A: hahaha que te digo? ;D,No,0,,Yes,2,speak to me in spanish you sexy motherfucke,No,0,
Q: Sureeeeeeeee. I&#039;ll come now. =P  get ready. ahahha ;D   jk:P<br>A: i'm always ready ;D,Yes,2,get ready,No,0,,No,0,
Q: This wouldn&#039;t work if you don&#039;t tell me that you like boys  cause if you are not  that means I don&#039;t have any chance with a cute face like you :)<br>A: you're right but who are you? xP,No,0,,,0,,Yes,1,This wouldn't work if you don't tell me that you like boys cause if you are not that means I don't have any chance with a cute face like you
Q: u could have just answered that : are u single??  haha :&#039;)<br>A: ;D,No,0,,No,0,,Yes,1,are you single
Q: ur meant toooo answerrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr (: just say please? well if the person who u like on twitter asked u who u liked  would u tell her it was her? :D<br>A: :-#,No,0,,Yes,3,just say please,No,0,
Q: virgin?<br>A: guess and i'll tell you :P,No,0,,No,0,,Yes,2,virgin guess and i'll tell you
Q: well ur nasty. haha (;  guess who this is? :D<br>A: who? (;,No,0,,Yes,3,well ur nasty.haha,No,1,ur nasty
Q: what does a banana remind you of?<br>A: a fruit xD,Yes,2,Q: what does a banana remind you of?,No,0,,No,0,
Q: what is with the dots? we both know you lik her (or maybe not) i honestly think you should tell her if you do like her though.<br>A: that's my choice...,No,0,,Yes,1,i honestly think you should tell her if you do like her though,No,0,
Q: What we be the greatest thing you would ever wish to do in your life ?<br>A: fuck Lady Gaga and Hayley Williams at the same thime haha JK i would like to sing a song feat Gaga and Yelyah :D,No,0,,No,0,,Yes,2,fuck Lady Gaga and Hayley Williams at the same thime
Q: whats the youngest and oldest youd ever date<br>A: i don't remember :P,No,0,,No,0,,Yes,1,youngest
Q: when was the last time of u masturbation? :P<br>A: a long time (;,No,0,,Yes,6,masturbation,No,0,
Q: who da hell is belle? does she mean shes my friend? i dont even no a belle. shuddup &#039;belle&#039; >_<<br>A: lol,No,0,,No,0,,Yes,1,hell is belle? does she mean shes my friend? i dont even no a belle. shuddup 'belle'
Q: Who is hating on you  I&#039;ll F*ck them up into next week!<br>A: haters make me feel important because is my life and they care about my life ;D,No,0,,Yes,2,I'll F*ck them up,Yes,6,F*ck them up into next week
Q: would you fuck lady gaga?<br>A: Obviously xD,No,0,,Yes,8,would you fuck lady gaga?,No,0,
Q: would you let lady gaga fuck you? hahaha<br>A: xDDDDD wtf,No,0,,No,0,,Yes,10,would you let lady gaga fuck you
Q: yeah sorry  i was in a wierd mood then  haha =P oooh  your bio  says you love dirty questions  hmmm ok then  heres one You ever fucked a guy ?? =&#039;)<br>A: No.,Yes,6,You ever fucked a guy ?,No,0,,Yes,3,ok then heres one You ever fucked a guy
Q: you are the most beautiful plague. :P<br>A: aww <33 ILY too,Yes,5,most beautiful plague,No,0,,No,0,
Q: You are the second guy to call me shawty today :D lol :)<br>A: who was the first? @justinbieber? haha ;D,No,0,,No,0,,Yes,7,second guy to call me shawty today
Q: You are virgin! Right?<br>A: hahaha :P,Yes,3,Your a virgin right,No,0,,No,0,
Q: You feel in love with someone only because she told you you are the only exception?!!?! You are the only exception  then :D<br>A: hahahaha but you're not the first who told me that. so... :P,No,0,,Yes,4,first who told me that. so,No,0,
Q: you know you would like having your hairy ass licked bet you even got hard reading about it so how about it is it hairy<br>A: you know what's hairy? your mom's pussy! go lick that!,Yes,5,your mom's pussy,Yes,9,"""""""Q: you know you would like having your hairy ass licked bet you even got hard reading about it so how about it is it hairy",,,
Q: You Love Dirrrrrrty questions it says in ur Bio ... well how are you sexaaaay? (;<br>A: i'm alone in home for 3 days ;D wanna come in?,No,0,,No,0,,Yes,7,Dirrrrrrty questions it says in ur Bio ... well how are you sexaaaay  alone in home for 3 days ;D wanna come in
Q: your wrong about my age but i will give you 50 minutes of hard sex me in your ass dont lie you know you want it<br>A: you know you're a motherfucking perv! go and fuck your grandpa!,Yes,9,"""""""i will give you 50 minutes of hard sex me in your ass dont lie you know you want it",,,,,,
Q: whats one thing you want to do this summer<br>A: Fuck sh,No,0,,No,0,,Yes,1,Fuck
Q: * rephrased* would you passionatly kiss the last person of the opersite sex you saw ( that is not a family member ) ?<br>A: sure my Boss is Pretty,No,0,,No,0,,Yes,3,kiss sex
Q: :P I suppose i am. Sex at 13  drinking at 13  smoking at 12  etc i live to please myself. not other people<br>A: good for YOU ! ! I wouldn't have it any other way,No,0,,No,0,,Yes,3,sex
Q: [sorry if its a double post D: ]  I was told by a classmate yesterday that I wont succeed because I only attend night school. Apparently  my CNA certifaction is bullshit. xD Your thoughts? (Long answers please)<br>A: LMAO What's wrong with Night School ?? Apperantly you have a day job AND go to School ?? Good for you ! ! That Person is a jerk,Yes,2,That Person is a jerk,No,0,,No,0,
Q: 44 ???? WTF ? would U ever have sex with an underage girl like me ?<br>A: No I will talk dirty to you  but would never go all the way,No,0,,Yes,10,"""""""Q: 44 ???? WTF ? would U ever have sex with an underage girl like me ?",,,
Q: A good friend of yours recently got with a controlling BF/GF. Their BF/GF doesn&#039;t want them spending time with you and forbids them to see or talk to you  and your friend agrees to not talk to you. How do you react? What do you do? D:<br>A: walk away. fuck em. If my Friendship is that unimportant to him / her  then they can kiss my ass,Yes,1,A: walk away. fuck em. If my Friendship is that unimportant to him / her then they can kiss my ass,No,0,,No,0,
Q: After today  I will NO longer be doing ANY profile pic reading  so don&#039;t even bother asking.<br>A: okies,Yes,1,It looks like Q may be the victim of a third party,No,0,,No,0,
Q: ahh fair enough :( what time isit there now then ??<br>A: 4 : 14 pm  and you ?? are you still dressed or in your Jammies ??,Yes,4,are you still dressed or in your Jammies,No,0,,No,0,
Q: ahh pink is quite hot actually :)<br>A: yep  espesally if that is the color of your panties LMAO ! !,No,0,,No,0,,Yes,3,color of your panties
Q: ANSWER THIS QUESTION WITH A LIE: How many BFs/GFs have you had in your lifetime?<br>A: 100,No,0,,Yes,2,How many BFs/GFs in lifetime,No,0,
Q: APPARENTLY  I am a low-life ugly fat girl that eats a ton of twinkies! LMFAO. DO you like twinkies? I don&#039;t but apparently I do.<br>A: LMAO ! ! I hate twinkies  and haven't eaten one in over 30 years,No,0,,No,0,,Yes,3,low-life ugly fat girl
Q: are any of your parents addicts? of what?<br>A: My Dad was an Alcoholic,Yes,2,parents addicts? of what?,Yes,1,Are your parents addicts or what?,No,0,
Q: Are you a bisexy?<br>A: yeay,Yes,3,Are you a bisexy?,Yes,3,bisexy,No,0,
Q: are you currently in a relationship ?<br>A: no  I ma Dating. which is a nice way of saying I am haveing fun,No,0,,No,0,,Yes,3,in a relationship
Q: Are you good at impersonating people? I personally suck but I love doing it. x)<br>A: yeay I am LOL my cousin hates it,Yes,6,suck but I love doing it,No,0,,No,0,
Q: Are you wearing socks?<br>A: yes black,No,0,,No,0,,Yes,2,wearing socks
Q: Are Yu racistt ?<br>A: No. I hate racistt  I have dated American Indians  Blacks  Mexicans and Whites I always tell People that I am Capt. Kirk. I would do the Green Chick If she would let me,No,0,,Yes,6,racistt,No,0,
Q: Delete your formspring immediately  clitface<br>A: who are you  and why are you being Rude to me ??,No,0,,Yes,3,Rude,Yes,9,Delete your formspring immediately clitface
